('Test', 0, 'Prediction:', 7, 'True Label:', 7)
('Test', 66, 'Prediction:', 0, 'True Label:', 0)
('Test', 67, 'Prediction:', 9, 'True Label:', 9)
('Test', 68, 'Prediction:', 3, 'True Label:', 5)
('Test', 69, 'Prediction:', 3, 'True Label:', 3)
('Test', 70, 'Prediction:', 0, 'True Label:', 0)
('Test', 71, 'Prediction:', 1, 'True Label:', 1)
('Test', 72, 'Prediction:', 7, 'True Label:', 7)
('Test', 73, 'Prediction:', 3, 'True Label:', 3)
('Test', 74, 'Prediction:', 5, 'True Label:', 5)
('Test', 75, 'Prediction:', 9, 'True Label:', 9)
('Test', 76, 'Prediction:', 1, 'True Label:', 1)
('Test', 77, 'Prediction:', 1, 'True Label:', 1)
('Test', 78, 'Prediction:', 9, 'True Label:', 7)
('Test', 79, 'Prediction:', 4, 'True Label:', 4)
('Test', 80, 'Prediction:', 1, 'True Label:', 1)
('Test', 81, 'Prediction:', 8, 'True Label:', 8)
('Test', 82, 'Prediction:', 6, 'True Label:', 6)
('Test', 83, 'Prediction:', 3, 'True Label:', 3)
('Test', 84, 'Prediction:', 0, 'True Label:', 0)
('Test', 85, 'Prediction:', 8, 'True Label:', 8)
('Test', 86, 'Prediction:', 7, 'True Label:', 7)
('Test', 87, 'Prediction:', 8, 'True Label:', 8)
('Test', 88, 'Prediction:', 5, 'True Label:', 5)
('Test', 89, 'Prediction:', 9, 'True Label:', 9)
('Test', 90, 'Prediction:', 7, 'True Label:', 7)
('Test', 91, 'Prediction:', 8, 'True Label:', 8)
('Test', 92, 'Prediction:', 3, 'True Label:', 3)
('Test', 93, 'Prediction:', 6, 'True Label:', 6)
('Test', 94, 'Prediction:', 4, 'True Label:', 4)
('Test', 95, 'Prediction:', 8, 'True Label:', 8)
('Test', 96, 'Prediction:', 7, 'True Label:', 7)
('Test', 97, 'Prediction:', 9, 'True Label:', 9)
('Test', 98, 'Prediction:', 6, 'True Label:', 6)
('Test', 99, 'Prediction:', 2, 'True Label:', 2)
('Test', 100, 'Prediction:', 8, 'True Label:', 8)
('Test', 101, 'Prediction:', 0, 'True Label:', 0)
('Test', 102, 'Prediction:', 9, 'True Label:', 9)
('Test', 103, 'Prediction:', 2, 'True Label:', 2)
('Test', 104, 'Prediction:', 1, 'True Label:', 1)
('Test', 105, 'Prediction:', 0, 'True Label:', 0)
('Test', 106, 'Prediction:', 1, 'True Label:', 1)
('Test', 107, 'Prediction:', 0, 'True Label:', 0)
('Test', 108, 'Prediction:', 5, 'True Label:', 5)
('Test', 109, 'Prediction:', 9, 'True Label:', 5)
('Test', 110, 'Prediction:', 5, 'True Label:', 5)
('Test', 111, 'Prediction:', 4, 'True Label:', 4)
('Test', 112, 'Prediction:', 9, 'True Label:', 9)
('Test', 113, 'Prediction:', 3, 'True Label:', 3)
('Test', 114, 'Prediction:', 7, 'True Label:', 7)
('Test', 115, 'Prediction:', 6, 'True Label:', 2)
('Test', 116, 'Prediction:', 1, 'True Label:', 9)
('Test', 117, 'Prediction:', 9, 'True Label:', 9)
('Test', 118, 'Prediction:', 7, 'True Label:', 7)
('Test', 119, 'Prediction:', 6, 'True Label:', 6)
('Test', 120, 'Prediction:', 3, 'True Label:', 3)
('Test', 121, 'Prediction:', 4, 'True Label:', 4)
('Test', 122, 'Prediction:', 2, 'True Label:', 2)
('Test', 123, 'Prediction:', 2, 'True Label:', 2)
('Test', 124, 'Prediction:', 9, 'True Label:', 9)
('Test', 125, 'Prediction:', 3, 'True Label:', 3)
('Test', 126, 'Prediction:', 9, 'True Label:', 4)
('Test', 127, 'Prediction:', 5, 'True Label:', 5)
('Test', 128, 'Prediction:', 5, 'True Label:', 5)
('Test', 129, 'Prediction:', 6, 'True Label:', 6)
('Test', 130, 'Prediction:', 0, 'True Label:', 0)
('Test', 131, 'Prediction:', 3, 'True Label:', 3)
('Test', 132, 'Prediction:', 6, 'True Label:', 6)
('Test', 133, 'Prediction:', 3, 'True Label:', 3)
('Test', 134, 'Prediction:', 7, 'True Label:', 7)
('Test', 135, 'Prediction:', 0, 'True Label:', 0)
('Test', 136, 'Prediction:', 0, 'True Label:', 0)
('Test', 137, 'Prediction:', 0, 'True Label:', 0)
('Test', 138, 'Prediction:', 2, 'True Label:', 2)
('Test', 139, 'Prediction:', 5, 'True Label:', 5)
('Test', 140, 'Prediction:', 2, 'True Label:', 2)
('Test', 141, 'Prediction:', 3, 'True Label:', 3)
('Test', 142, 'Prediction:', 5, 'True Label:', 5)
('Test', 143, 'Prediction:', 7, 'True Label:', 2)
('Test', 144, 'Prediction:', 6, 'True Label:', 6)
('Test', 145, 'Prediction:', 1, 'True Label:', 1)
('Test', 146, 'Prediction:', 9, 'True Label:', 9)
('Test', 147, 'Prediction:', 8, 'True Label:', 8)
('Test', 148, 'Prediction:', 2, 'True Label:', 2)
('Test', 149, 'Prediction:', 5, 'True Label:', 5)
('Test', 150, 'Prediction:', 0, 'True Label:', 0)
('Test', 151, 'Prediction:', 3, 'True Label:', 8)
('Test', 152, 'Prediction:', 3, 'True Label:', 3)
('Test', 153, 'Prediction:', 9, 'True Label:', 9)
('Test', 154, 'Prediction:', 6, 'True Label:', 6)
('Test', 155, 'Prediction:', 2, 'True Label:', 2)
('Test', 156, 'Prediction:', 1, 'True Label:', 1)
('Test', 157, 'Prediction:', 1, 'True Label:', 1)
('Test', 158, 'Prediction:', 0, 'True Label:', 0)
('Test', 159, 'Prediction:', 6, 'True Label:', 6)
('Test', 160, 'Prediction:', 3, 'True Label:', 3)
('Test', 161, 'Prediction:', 1, 'True Label:', 1)
('Test', 162, 'Prediction:', 9, 'True Label:', 9)
('Test', 163, 'Prediction:', 8, 'True Label:', 8)
('Test', 164, 'Prediction:', 5, 'True Label:', 5)
('Test', 165, 'Prediction:', 1, 'True Label:', 1)
('Test', 166, 'Prediction:', 7, 'True Label:', 7)
('Test', 167, 'Prediction:', 2, 'True Label:', 2)
('Test', 168, 'Prediction:', 2, 'True Label:', 2)
('Test', 169, 'Prediction:', 0, 'True Label:', 0)
('Test', 170, 'Prediction:', 8, 'True Label:', 8)
('Test', 171, 'Prediction:', 0, 'True Label:', 0)
('Test', 172, 'Prediction:', 4, 'True Label:', 4)
('Test', 173, 'Prediction:', 4, 'True Label:', 4)
('Test', 174, 'Prediction:', 0, 'True Label:', 0)
('Test', 175, 'Prediction:', 2, 'True Label:', 2)
('Test', 176, 'Prediction:', 1, 'True Label:', 1)
('Test', 177, 'Prediction:', 4, 'True Label:', 4)
('Test', 178, 'Prediction:', 2, 'True Label:', 2)
('Test', 179, 'Prediction:', 9, 'True Label:', 7)
('Test', 180, 'Prediction:', 3, 'True Label:', 3)
('Test', 181, 'Prediction:', 7, 'True Label:', 7)
('Test', 182, 'Prediction:', 0, 'True Label:', 0)
('Test', 183, 'Prediction:', 9, 'True Label:', 9)
('Test', 184, 'Prediction:', 4, 'True Label:', 4)
('Test', 185, 'Prediction:', 1, 'True Label:', 1)
('Test', 186, 'Prediction:', 3, 'True Label:', 3)
('Test', 187, 'Prediction:', 0, 'True Label:', 0)
('Test', 188, 'Prediction:', 1, 'True Label:', 1)
('Test', 189, 'Prediction:', 4, 'True Label:', 4)
('Test', 190, 'Prediction:', 3, 'True Label:', 3)
('Test', 191, 'Prediction:', 7, 'True Label:', 7)
('Test', 192, 'Prediction:', 9, 'True Label:', 4)
('Test', 193, 'Prediction:', 1, 'True Label:', 1)
('Test', 194, 'Prediction:', 0, 'True Label:', 0)
('Test', 195, 'Prediction:', 6, 'True Label:', 6)
('Test', 196, 'Prediction:', 2, 'True Label:', 2)
('Test', 197, 'Prediction:', 9, 'True Label:', 9)
('Test', 198, 'Prediction:', 8, 'True Label:', 8)
('Test', 199, 'Prediction:', 9, 'True Label:', 9)
Done!
('Accuracy:', 0.9000000000000007)
